E	V
439	-9.069337613708193
440	-8.918975032409334
441	-8.654316770519904
442	-8.725227291513248
443	-8.36148351928655
444	-9.051668522645212
445	-8.799999999999999
446	-9.0
447	-8.695012437887911
448	-8.200000000000001
449	-9.225403330758517
450	-9.15660188679434
451	-8.105572809000083
452	-8.31937515251343
453	-8.695012437887911
454	-8.200000000000001
455	-9.03114224595505
456	-9.069337613708193
457	-8.57804555427071
458	-8.95660188679434
459	-8.051668522645212
460	-8.73667504192892
461	-8.816784043380077
462	-8.055969349108945
463	-8.722967038573099
464	-9.4
465	-8.820204102886729
466	-8.354637595292628
467	-9.119375152513431
468	-9.105572809000083
469	-8.354637595292628
470	-8.633809621030942
471	-8.103337045290424
472	-8.512565791296208
473	-8.93667504192892
474	-8.722967038573099
475	-8.525227291513248
476	-7.7147700453647285
477	-9.069337613708193
478	-8.725227291513248
479	-9.269337613708192
480	-8.95660188679434
481	-8.29584054212077
482	-8.964218330839945
483	-8.525227291513248
484	-8.31937515251343
485	-9.225403330758517
486	-9.93667504192892
487	-8.695012437887911
488	-8.658359213500127
489	-8.200000000000001
490	-9.381966011250105
491	-9.051668522645212
492	-9.367544467966324
493	-8.122967038573098
494	-8.714770045364729
495	-8.799999999999999
496	-8.964218330839945
497	-8.820204102886729
498	-7.872117940390029
499	-9.105572809000083
500	-8.87934443842663
501	-7.873350083857839
502	-8.633809621030942
503	-9.220204102886727
504	-8.73667504192892
505	-8.918975032409334
506	-8.693774225170145
507	-8.722967038573099
508	-9.57804555427071
509	-8.200000000000001
510	-8.516760302580867
511	-8.4
512	-8.380196097281443
513	-8.269337613708192
514	-9.295012437887912
515	-9.105572809000083
516	-8.486447127433996
517	-8.95660188679434
518	-8.764218330839945
519	-8.243534003374947
520	-9.295012437887912
521	-8.725227291513248
522	-8.4
523	-8.580196097281442
524	-8.95660188679434
525	-8.964218330839945
526	-8.580196097281442
527	-8.693774225170145
528	-8.486447127433996
529	-9.473350083857841
530	-8.820204102886729
531	-8.551000400320321
532	-8.47530492340404
533	-8.695012437887911
534	-8.95660188679434
535	-8.580196097281442
536	-8.200000000000001
537	-8.799999999999999
538	-9.03380962103094
539	-9.0
540	-8.918975032409334
541	-8.799999999999999
542	-8.4
543	-8.068217893672365
544	-8.31937515251343
545	-9.051668522645212
546	-9.051668522645212
547	-9.147582530373997
548	-8.381966011250105
549	-8.855969349108946
550	-8.551000400320321
551	-9.0
552	-8.295012437887912
553	-8.15660188679434
554	-8.904554884989668
555	-8.928220211291865
556	-8.829179606750063
557	-9.112565791296209
558	-8.512565791296208
559	-8.103337045290424
560	-7.964218330839945
561	-9.722967038573099
562	-8.735088935932648
563	-9.328220211291864
564	-9.381966011250105
565	-8.4
566	-8.799999999999999
567	-8.816784043380077
568	-7.904554884989668
569	-8.381966011250105
570	-9.03380962103094
571	-9.367544467966324
572	-8.695012437887911
573	-8.286447127433997
574	-8.4
575	-8.068217893672365
576	-8.735088935932648
577	-8.658359213500127
578	-8.225403330758517
579	-8.855969349108946
580	-9.483484861008833
581	-9.518975032409335
582	-8.119375152513431
583	-9.561483519286549
584	-8.6
585	-8.525227291513248
586	-9.693774225170145
587	-8.820204102886729
588	-8.4
589	-8.93667504192892
590	-9.15660188679434
591	-8.084450557859649
592	-8.580196097281442
593	-8.022361116536883
594	-8.904554884989668
595	-8.139852949126455
596	-8.26377085042628
597	-8.473350083857841
598	-8.486447127433996
599	-8.918975032409334
600	-9.051668522645212
601	-8.286447127433997
602	-8.215476742133488
603	-9.105572809000083
604	-8.29584054212077
605	-8.654316770519904
606	-8.81339312526815
607	-9.105572809000083
608	-9.055969349108945
609	-9.15660188679434
610	-8.95100040032032
611	-8.29584054212077
612	-8.282255312124217
613	-8.816784043380077
614	-8.381966011250105
615	-8.112565791296209
616	-8.326679946931849
617	-8.47530492340404
618	-8.918975032409334
619	-9.055969349108945
620	-8.841742430504416
621	-8.659687576256715
622	-8.03114224595505
623	-7.95660188679434
624	-8.512565791296208
625	-7.799999999999999
626	-8.119375152513431
627	-8.367544467966324
628	-8.683484861008832
629	-8.799999999999999
630	-8.6
631	-8.525227291513248
632	-9.15660188679434
633	-8.15660188679434
634	-8.6
635	-9.269337613708192
636	-8.799999999999999
637	-8.26377085042628
638	-8.87934443842663
639	-8.799999999999999
640	-8.043534003374948
641	-9.483484861008833
642	-8.380196097281443
643	-9.367544467966324
644	-8.139852949126455
645	-8.837950064818669
646	-8.213393125268148
647	-9.31937515251343
648	-8.6
649	-9.36148351928655
650	-8.93667504192892
651	-9.4
652	-8.95660188679434
653	-8.354637595292628
654	-8.67934443842663
655	-8.4
656	-8.799999999999999
657	-8.585786437626904
658	-8.659687576256715
659	-7.95100040032032
660	-8.243534003374947
661	-8.486447127433996
662	-9.36148351928655
663	-9.059687576256714
664	-9.200000000000001
665	-7.954637595292629
666	-8.799999999999999
