E	A
754	-9.87
755	-9.87
756	-9.69
757	-9.97
758	-9.65
759	-9.71
760	-9.77
761	-9.73
762	-9.81
763	-9.78
764	-9.7
765	-10.12
766	-9.77
767	-9.74
768	-9.69
769	-9.78
770	-9.61
771	-9.56
772	-9.61
773	-9.78
774	-9.83
775	-9.61
776	-9.74
777	-9.67
778	-9.69
779	-9.83
780	-9.82
781	-9.78
782	-9.46
783	-9.67
784	-9.78
785	-9.84
786	-9.79
787	-9.72
788	-9.62
789	-9.81
790	-9.78
791	-9.83
792	-9.72
793	-9.89
794	-9.75
795	-9.67
796	-9.81
797	-9.69
798	-9.7
799	-9.85
800	-9.71
801	-9.61
802	-9.67
803	-9.53
804	-9.65
805	-9.8
806	-9.62
807	-9.62
808	-9.53
809	-9.54
810	-9.73
811	-9.78
812	-9.65
813	-9.91
814	-9.93
815	-9.67
816	-9.88
817	-9.8
818	-9.8
819	-9.75
820	-9.83
821	-9.97
822	-9.72
823	-9.56
824	-9.69
825	-9.76
826	-9.68
827	-9.69
828	-9.97
829	-9.74
830	-9.84
831	-9.57
832	-9.77
833	-10.02
834	-9.71
835	-9.67
836	-9.7
837	-9.79
838	-9.82
839	-9.72
840	-9.93
841	-9.67
842	-9.84
843	-9.62
844	-9.65
845	-9.69
846	-9.71
847	-9.76
848	-9.59
849	-9.67
850	-9.83
851	-9.62
852	-9.72
853	-9.92
854	-9.9
855	-9.73
856	-9.84
857	-9.83
858	-9.64
859	-9.82
860	-9.72
861	-9.64
862	-9.75
863	-9.89
864	-9.92
865	-9.87
866	-9.64
867	-9.8
868	-9.81
869	-9.88
870	-9.68
871	-9.9
872	-9.67
873	-9.8
874	-9.78
875	-9.99
876	-9.67
877	-9.9
878	-9.85
879	-9.69
880	-9.77
881	-9.94
882	-9.94
883	-9.92
884	-9.86
885	-9.98
886	-9.78
887	-9.71
888	-9.83
889	-9.81
890	-9.62
891	-9.79
892	-9.76
893	-9.59
894	-9.5
895	-9.8
896	-9.63
897	-9.85
898	-9.86
899	-9.7
900	-9.85
901	-9.74
902	-9.6
903	-9.66
904	-9.93
905	-9.56
906	-10.02
907	-9.83
908	-9.82
909	-9.52
910	-9.55
911	-9.58
912	-9.81
913	-9.81
914	-9.66
915	-9.75
916	-9.54
917	-9.74
918	-9.66
919	-9.88
920	-9.8
921	-9.87
922	-9.89
923	-9.77
924	-9.54
925	-9.89
926	-9.81
927	-9.76
928	-9.59
929	-9.73
930	-9.7
931	-9.71
932	-9.58
933	-9.72
934	-9.66
935	-9.54
936	-9.67
937	-9.76
938	-9.72
939	-9.81
940	-9.73
941	-9.67
942	-9.7
943	-10.08
944	-9.69
945	-9.74
946	-9.63
947	-9.6
948	-9.61
949	-9.69
950	-9.77
951	-9.78
952	-9.6
953	-9.82
954	-9.59
955	-9.78
956	-9.88
957	-9.93
958	-9.71
959	-9.75
960	-9.7
961	-9.74
962	-9.58
963	-9.95
964	-9.83
965	-9.64
966	-9.68
967	-9.82
968	-9.77
969	-9.75
970	-9.55
971	-9.94
972	-9.66
973	-9.93
974	-9.57
975	-9.66
976	-9.86
977	-9.54
978	-9.87
979	-9.62
980	-9.69
981	-9.65
982	-9.91
983	-9.58
984	-9.73
985	-9.91
986	-9.71
987	-9.87
988	-9.79
989	-9.68
990	-9.77
991	-9.61
992	-9.58
993	-9.75
994	-9.89
995	-9.68
996	-9.83
997	-9.82
998	-9.67
999	-9.77
1000	-9.62
