E	V
406	-11.236381051770469
407	-10.816175168483579
408	-11.226891264420605
409	-10.911771301132863
410	-10.909770618066023
411	-10.936960160435456
412	-10.54742945599257
413	-11.060892501536165
414	-10.817435298473587
415	-10.993953747153379
416	-10.870635422135047
417	-10.900555412739209
418	-10.860088492110242
419	-11.009960316835414
420	-10.920666481584291
421	-11.008304597359459
422	-10.920666481584291
423	-10.920810514894418
424	-10.944046677657628
425	-10.96619037896906
426	-10.835445975562573
427	-10.945155591614627
428	-10.85120470923021
429	-10.894296322440645
430	-10.874629983447422
431	-10.739073676817297
432	-10.963503388713825
433	-10.650357077803797
434	-10.648224110869783
435	-10.66700673191841
436	-10.562048591840686
437	-10.629422863405994
438	-10.70856203002434
439	-10.921528038293514
440	-10.515189630372635
441	-10.600136973450871
442	-10.711012820401915
443	-10.834918296290526
444	-10.571026675299882
445	-10.702526275861608
446	-10.716485485837794
447	-10.708009661779379
448	-10.721850266903882
449	-10.922497216032184
450	-10.860467187726929
451	-10.91940155635265
452	-10.922497216032184
453	-11.087434208703792
454	-11.08912468075676
455	-10.873222552343814
456	-11.30384048104053
457	-11.131507640956357
458	-11.164949391675627
459	-11.001706133783541
460	-11.102434484573472
461	-11.09534580253779
462	-11.070609605033212
463	-10.94527324912345
464	-10.852077735846793
465	-10.961404143958571
466	-11.03766439372639
467	-11.041317157014497
468	-11.047004519301387
469	-11.033734666247252
470	-10.817203684964968
471	-10.915514881983723
472	-10.600890696366328
473	-11.20199840255489
474	-10.889774751920406
475	-11.282246106591156
476	-10.910759769100366
477	-10.74349491066643
478	-10.98190700889964
479	-10.729766329625306
480	-10.853256259467079
481	-10.731408189546457
482	-10.765172797300043
483	-10.676863719061553
484	-10.706808733243376
485	-11.047843638253667
486	-10.800384544291196
487	-10.810657705010579
488	-10.901998402554891
489	-10.629590832991981
490	-11.002609545168475
491	-10.879075270956385
492	-11.00131077126176
493	-11.004988888834019
494	-10.950129303138231
495	-10.894296322440645
496	-10.852759817284456
497	-10.89582607431014
498	-10.818033988749894
499	-10.851204709230212
500	-10.818738827497446
501	-10.92879105769104
502	-10.90217186218029
503	-11.025735082217308
504	-11.149350984266633
505	-10.771137972781164
506	-10.912252019838789
507	-11.097435298473588
508	-10.868902980942627
509	-11.172066064427737
510	-11.01940155635265
511	-10.811559027772962
512	-11.141691207621838
513	-10.91940155635265
514	-10.927921898938974
515	-11.025735082217308
516	-10.9038918869559
517	-10.992455820394245
518	-10.862134804534017
519	-11.041652468247516
520	-11.223618444514239
521	-10.765542427988033
522	-10.801427661510095
523	-10.968107739222331
524	-10.847382177525455
525	-10.727921898938975
526	-10.945397894563232
527	-11.204794101021808
528	-11.001310771261762
529	-10.63070731118438
530	-11.198123624693636
531	-11.198454313354794
532	-10.842249971903799
533	-10.852600511297931
534	-11.126751697913571
535	-10.766526095489844
536	-10.713434954626932
537	-10.937218640759617
538	-11.128963902322
539	-11.194046826966478
540	-11.23475866477116
541	-11.230413469565008
542	-10.552967544189379
543	-10.935755076535926
544	-10.961706133783542
545	-10.888820098033655
546	-10.842947259696835
547	-10.977538500417953
548	-10.826198907005379
549	-10.791771301132862
550	-10.634508628189408
551	-10.767145549171257
552	-11.049492086728167
553	-10.894296322440647
554	-10.972215257666726
555	-11.133919272439481
556	-10.90217186218029
557	-11.061895003862226
558	-11.017756451072504
559	-10.860467187726929
560	-11.022098989178332
561	-11.09837493982026
562	-10.61073502928037
563	-10.847382177525455
564	-10.827117014340246
565	-11.103224253617563
566	-10.75831733125039
567	-11.042210227828736
568	-10.88975725294848
569	-11.03322826650662
570	-10.830509139248715
571	-11.111355876588634
572	-10.903328828820603
573	-10.936829144030174
574	-10.842249971903799
575	-11.072792206135786
576	-10.912252019838789
577	-10.835993311018084
578	-10.828058720445556
579	-10.876837719289785
580	-10.955627673984186
581	-10.886539848516957
582	-10.993985530462473
583	-11.103588719177603
